order_detail_id;order_id;product_id;price;quantity
5;3;907;25000;36
9;5;562;10000;22
15;8;645;39000;32
48;19;287;22000;12
49;19;201;26000;27
50;19;348;3000;36
86;31;581;11000;23
90;33;1045;20000;8
98;36;240;6000;26
127;48;554;6000;4
157;58;231;7000;29
158;58;1120;35000;13
159;58;846;5000;13
160;58;846;5000;13
192;67;155;79000;19
193;67;464;91000;26
194;67;464;91000;26
213;72;862;27000;10
214;73;378;7000;14
215;73;568;27000;1
248;83;394;3000;20
249;83;394;3000;20
263;87;441;11000;7
264;87;441;11000;7
265;87;659;59000;20
319;103;747;22000;26
320;103;835;5000;11
321;103;835;5000;11
322;103;1049;33000;42
323;103;386;6000;8
324;104;996;170000;14
325;104;261;10000;19
326;104;261;10000;19
327;105;217;14000;18
328;105;217;14000;18
334;107;121;149000;32
335;107;229;6000;5
347;110;876;19000;14
348;110;740;38000;15
389;122;427;3000;14
390;122;427;3000;14
391;122;991;14000;23
408;129;827;3000;24
428;135;98;130000;19
429;135;98;130000;19
430;135;335;6000;36
486;151;702;100000;5
487;151;1076;63000;32
488;151;203;13000;39
489;152;959;12000;8
490;152;959;12000;8
497;155;634;72000;6
498;155;634;72000;6
506;157;548;34000;34
599;180;8;100000;3
620;186;920;22000;22
622;188;44;99000;37
623;188;180;10000;6
624;188;180;10000;6
625;188;731;26000;29
633;192;973;16000;34
649;198;1143;35000;20
650;198;1143;35000;20
690;208;488;11000;38
691;208;294;19000;23
767;231;400;4000;13
768;231;162;54000;5
781;235;17;120000;30
782;235;17;120000;30
783;235;584;165000;20
784;235;963;19000;8
788;237;1106;19000;42
789;237;779;13000;10
790;237;996;170000;21
807;242;1118;53000;30
808;242;106;75000;13
809;243;615;7000;4
825;248;240;6000;12
853;259;550;12000;31
854;259;479;15000;21
855;259;436;16000;33
856;259;436;16000;33
857;259;169;133000;2
858;259;203;13000;6
859;259;506;11000;8
860;259;398;3000;3
861;259;787;7000;40
913;278;1075;33000;31
914;278;387;9000;3
915;278;1075;33000;31
916;278;387;9000;3
917;280;179;10000;31
918;280;446;13000;26
921;283;136;141000;20
922;283;1087;20000;8
