order_id;seller_id;buyer_id;kodepos;subtotal;discount;total;created_at;paid_at;delivery_at
3;5;4769;32610;900000;0;900000;2019-06-01;2019-06-04;2019-06-12
5;23;4276;02674;220000;0;220000;2019-04-02;2019-04-05;2019-04-09
8;4;14110;48577;1248000;0;1248000;2019-08-02;2019-08-13;2019-08-20
19;5;3831;91235;1074000;0;1074000;2020-05-16;NA;NA
31;46;5318;96740;253000;0;253000;2019-03-12;2019-03-17;2019-03-20
33;68;16359;97275;160000;0;160000;2019-07-09;2019-07-14;2019-07-14
36;1;6523;68651;156000;0;156000;2019-03-29;2019-04-11;2019-04-13
48;44;13167;52839;24000;0;24000;2019-10-20;2019-11-01;2019-11-12
58;4;2171;19543;788000;0;788000;2019-08-29;2019-09-08;2019-09-19
67;23;3863;08366;6233000;0;6233000;2020-02-17;2020-02-18;2020-02-29
72;32;17412;48748;270000;0;270000;2019-05-17;2019-05-19;2019-05-26
73;55;5894;39142;125000;0;125000;2019-11-17;2019-11-30;2019-12-09
83;56;5804;58856;120000;0;120000;2019-09-30;2019-10-07;2019-10-09
87;65;3433;95017;1334000;0;1334000;2020-05-29;2020-06-03;2020-06-14
103;65;9797;73801;2116000;0;2116000;2019-12-12;2019-12-13;2019-12-16
104;8;8799;98276;2760000;0;2760000;2020-02-03;2020-02-09;2020-02-13
105;38;15481;22205;504000;0;504000;2019-06-17;2019-07-01;2019-07-02
107;12;17394;87181;4798000;0;4798000;2020-04-08;2020-04-20;2020-04-26
110;31;12954;21786;836000;114000;722000;2020-04-25;2020-04-27;2020-05-08
122;42;401;63218;406000;0;406000;2020-01-22;2020-02-03;2020-02-07
129;4;9861;59125;72000;0;72000;2020-01-30;2020-02-02;2020-02-09
135;51;2716;12436;5156000;0;5156000;2019-11-05;2019-11-19;NA
151;42;12638;76645;3023000;0;3023000;2020-05-18;2020-05-19;2020-05-26
152;4;2972;46386;192000;0;192000;2020-05-17;2020-05-28;2020-06-06
155;52;9104;24486;864000;0;864000;2019-12-16;2019-12-20;2019-12-24
157;43;6850;13459;1156000;0;1156000;2020-01-07;2020-01-14;2020-01-17
180;1;10535;93778;300000;0;300000;2019-11-29;2019-12-03;2019-12-11
186;13;7005;75116;484000;0;484000;2019-08-25;2019-09-05;2019-09-16
188;24;2716;45751;4537000;0;4537000;2020-04-30;2020-05-13;2020-05-27
192;63;2302;87359;544000;0;544000;2019-12-22;2020-01-05;2020-01-06
198;34;2616;10269;1400000;0;1400000;2019-09-08;2019-09-12;2019-09-20
208;30;1743;06686;855000;0;855000;2019-08-19;2019-09-01;2019-09-07
231;11;3750;85890;322000;0;322000;2020-04-17;2020-04-29;2020-05-11
235;13;2762;57244;10652000;38000;10614000;2019-12-14;2019-12-23;2019-12-25
237;31;14097;37075;4498000;0;4498000;2020-01-18;2020-01-29;2020-02-02
242;24;8351;25951;2565000;0;2565000;2020-05-09;2020-05-17;2020-05-31
243;59;11907;37931;28000;0;28000;2019-08-09;2019-08-23;2019-09-04
248;59;4465;32669;72000;0;72000;2020-04-11;2020-04-15;2020-04-24
259;44;8621;34801;2464000;0;2464000;2020-05-24;2020-05-30;2020-06-03
278;20;17588;61905;2100000;0;2100000;2020-04-11;2020-04-15;2020-04-15
280;30;1692;25908;648000;0;648000;2019-09-30;2019-10-07;2019-10-13
283;23;17883;32358;3360000;0;3360000;2020-05-21;2020-06-03;2020-06-15
291;3;17531;09915;1940000;0;1940000;2020-03-02;2020-03-12;2020-03-12
295;15;15621;35136;1542000;0;1542000;2019-10-07;2019-10-11;2019-10-16
302;32;8620;50701;1244000;0;1244000;2019-11-21;2019-11-22;2019-12-02
305;6;346;34514;1188000;0;1188000;2019-07-09;2019-07-13;2019-07-16
312;30;15612;05188;182000;0;182000;2019-12-30;2020-01-08;2020-01-17
320;16;17885;24758;57000;0;57000;2019-12-07;NA;NA
328;6;1005;00326;1168000;0;1168000;2020-01-29;2020-02-08;2020-02-08
329;14;12908;33423;814000;0;814000;2019-08-09;2019-08-17;2019-08-23
339;53;13537;94564;570000;0;570000;2019-07-08;2019-07-19;2019-07-30
340;15;11747;00056;1404000;101400;1302600;2019-09-09;2019-09-13;2019-09-13
344;63;9522;47310;646000;0;646000;2019-10-09;2019-10-16;2019-10-18
350;14;3382;16833;1170000;0;1170000;2019-08-08;NA;NA
351;20;14180;83318;2752000;0;2752000;2020-05-25;2020-06-06;2020-06-17
354;14;6336;99883;1275000;0;1275000;2019-11-23;2019-11-25;2019-11-25
359;48;4543;00618;11920000;0;11920000;2019-09-10;2019-09-22;2019-09-24
361;64;9427;83566;176000;0;176000;2019-06-21;2019-06-30;2019-07-04
369;44;8260;22693;3000;0;3000;2020-05-26;2020-06-09;2020-06-11
370;61;636;35164;1953000;0;1953000;2020-04-03;2020-04-05;2020-04-17
377;11;5192;15269;1514000;106950;1407050;2020-05-31;2020-06-13;2020-06-19
381;39;1356;14209;384000;0;384000;2020-02-05;2020-02-17;2020-02-18
397;11;7297;05788;182000;0;182000;2019-10-12;2019-10-13;2019-10-21
407;13;6226;97356;920000;0;920000;2019-12-05;2019-12-19;2020-01-02
413;29;3086;52243;150000;0;150000;2019-12-14;2019-12-26;2019-12-28
418;8;14391;15371;1148000;29700;1118300;2020-04-05;2020-04-10;2020-04-24
421;49;7624;30340;1575000;0;1575000;2019-12-11;2019-12-19;2019-12-30
426;58;14447;03737;340000;0;340000;2019-12-16;2019-12-25;2019-12-29
431;27;17466;50229;2985000;0;2985000;2019-12-11;2019-12-12;2019-12-17
434;8;7943;17300;5731000;0;5731000;2020-03-04;2020-03-14;2020-03-23
449;35;14964;74999;117000;0;117000;2019-09-05;2019-09-14;2019-09-24
451;55;16819;03595;10055000;1794000;8261000;2020-01-01;2020-01-13;2020-01-13
466;38;17235;21160;2728000;0;2728000;2020-02-20;2020-02-26;2020-02-27
467;49;6512;80024;6418000;0;6418000;2020-04-16;2020-04-18;2020-04-24
470;39;4518;38583;66000;0;66000;2019-08-17;2019-08-27;2019-08-28
485;65;14363;20359;1022000;0;1022000;2019-06-11;2019-06-20;2019-06-20
486;32;3861;04202;2725000;0;2725000;2020-05-26;2020-06-09;2020-06-23
487;26;11247;36438;567000;0;567000;2020-02-16;2020-02-19;2020-02-24
501;60;11498;48245;120000;0;120000;2019-11-09;2019-11-14;2019-11-21
502;58;11121;52788;609000;0;609000;2019-12-26;2020-01-06;2020-01-16
504;48;5182;27528;770000;0;770000;2020-01-07;2020-01-08;2020-01-13
512;1;10477;06493;2402000;0;2402000;2020-04-10;2020-04-15;2020-04-29
521;11;8762;39480;418000;0;418000;2019-05-29;2019-05-30;2019-06-04
522;52;5394;89561;1435000;215250;1219750;2019-12-10;2019-12-12;2019-12-13
537;39;1493;50150;7316000;0;7316000;2019-11-01;2019-11-06;2019-11-10
543;33;14962;30085;70000;0;70000;2019-10-09;2019-10-22;2019-10-24
557;46;4762;41061;5342000;0;5342000;2020-03-16;2020-03-23;2020-04-03
567;25;13859;32846;6645000;0;6645000;2020-01-12;2020-01-16;2020-01-30
574;68;6463;51918;266000;0;266000;2019-11-26;2019-12-05;2019-12-19
582;18;7182;43020;349000;0;349000;2019-09-29;2019-10-11;2019-10-20
586;50;16277;52472;420000;0;420000;2019-10-02;2019-10-14;2019-10-20
590;6;15737;24121;346000;0;346000;2019-12-15;2019-12-19;NA
598;15;8601;23151;3870000;0;3870000;2020-04-03;NA;NA
600;38;16676;59610;19342000;2507400;16834600;2020-01-29;2020-02-05;2020-02-11
625;3;16;76356;72000;0;72000;2019-12-08;2019-12-13;2019-12-18
638;48;15013;79511;792000;0;792000;2019-07-07;2019-07-20;2019-07-26
639;64;6789;61473;3342000;0;3342000;2020-05-28;2020-06-08;2020-06-14
659;37;17027;41351;1769000;0;1769000;2020-04-17;2020-04-30;2020-05-03
663;66;5909;54766;1258000;0;1258000;2019-10-25;2019-10-30;2019-11-08
664;58;6975;83183;205000;0;205000;2019-12-13;2019-12-25;2019-12-25
676;32;1395;56751;624000;0;624000;2020-02-02;2020-02-04;2020-02-15
690;52;4329;15229;68000;0;68000;2019-09-23;2019-10-02;2019-10-04
